,reasoning,answer,confidence,question,actual,correct
0,"Since Natalia sold 48 clips in April and half as many in May, she sold 48 / 2 = 24 clips in May. To find the total, we add the number of clips sold in April and May: 48 + 24.",72.0,1.0,"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?",72,True
1,Multiply the hourly wage by the fraction of an hour worked.,6.0,1.0,"Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?",10,False
2,"Betty initially has half of the money needed, which is $100/2 = $50. Her parents give her $15 and her grandparents give her $15*2 = $30. So, Betty now has $50 + $15 + $30 = $95. To buy the wallet, she needs $100 - $95 = $5 more.",5.0,1.0,"Betty is saving money for a new wallet which costs $100. Betty has only half of the money she needs. Her parents decided to give her $15 for that purpose, and her grandparents twice as much as her parents. How much more money does Betty need to buy the wallet?",5,True
3,"Julie read 12 pages yesterday and 2 * 12 = 24 pages today. So far, she has read 12 + 24 = 36 pages. The total remaining pages are 120 - 36 = 84 pages. To read half of the remaining pages, she needs to read 84 / 2 = 42 pages.",42.0,1.0,"Julie is reading a 120-page book. Yesterday, she was able to read 12 pages and today, she read twice as many pages as yesterday. If she wants to read half of the remaining pages tomorrow, how many pages should she read?",42,True
4,"First, calculate the number of pages written per week. This is 2 friends * 2 letters * 3 pages = 12 pages per week. Next, calculate the number of weeks in a year, which is 52 weeks. Finally, multiply the number of pages written per week by the number of weeks in a year to find the total number of pages written in a year.",624.0,1.0,James writes a 3-page letter to 2 different friends twice a week.  How many pages does he write a year?,624,True
5,"First, calculate the number of purple flowers, which is 80% more than the yellow flowers. Then calculate the total number of yellow and purple flowers. After that, find 25% of the total number of yellow and purple flowers to get the number of green flowers. Finally, sum up the number of flowers of all colors.",150.0,1.0,"Mark has a garden with flowers. He planted plants of three different colors in it. Ten of them are yellow, and there are 80% more of those in purple. There are only 25% as many green flowers as there are yellow and purple flowers. How many flowers does Mark have in his garden?",35,False
6,"Count the total number of slices from large and small pizzas, then add them together.",40.0,1.0,"Albert is wondering how much pizza he can eat in one day. He buys 2 large pizzas and 2 small pizzas. A large pizza has 16 slices and a small pizza has 8 slices. If he eats it all, how many pieces does he eat that day?",48,False
7,"Initial weight of jelly beans is 2 pounds. Adding brownies triples the weight to 6 pounds. Adding 2 more pounds of jelly beans results in 8 pounds. Finally, gummy worms double the weight to 16 pounds.",16.0,1.0,"Ken created a care package to send to his brother, who was away at boarding school.  Ken placed a box on a scale, and then he poured into the box enough jelly beans to bring the weight to 2 pounds.  Then, he added enough brownies to cause the weight to triple.  Next, he added another 2 pounds of jelly beans.  And finally, he added enough gummy worms to double the weight once again.  What was the final weight of the box of goodies, in pounds?",16,True
8,Calculate the total amount spent by Alexis on known items and subtract the remaining budget to get the cost of the shoes.,61.0,1.0,"Alexis is applying for a new job and bought a new set of business clothes to wear to the interview. She went to a department store with a budget of $200 and spent $30 on a button-up shirt, $46 on suit pants, $38 on a suit coat, $11 on socks, and $18 on a belt. She also purchased a pair of shoes, but lost the receipt for them. She has $16 left from her budget. How much did Alexis pay for the shoes?",41,False
9,"Calculate regular hours and overtime hours. For regular hours, multiply hourly wage by hours worked. For overtime hours, multiply hourly wage by 1.5 and multiply by overtime hours. Add both results.",561.0,1.0,"Tina makes $18.00 an hour.  If she works more than 8 hours per shift, she is eligible for overtime, which is paid by your hourly wage + 1/2 your hourly wage.  If she works 10 hours every day for 5 days, how much money does she make?",990,False
