,reasoning,answer,confidence,question,actual,correct
0,"In April, Natalia sold 48 clips. In May, she sold half of that amount, which is 48 / 2 = 24 clips. Therefore, the total number of clips sold in April and May is 48 + 24 = 72.",72.0,1.0,"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?",72,True
1,"Weng earns $12 per hour. Since there are 60 minutes in an hour, we first need to convert 50 minutes into hours. 50 minutes is 50/60 hours, which simplifies to 5/6 hours. She earns $12 for each hour, so for 5/6 of an hour, she earns (12 * 5/6) dollars. Calculating this gives $10.",10.0,1.0,"Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?",10,True
2,"Betty needs $100 for the wallet. She has half of that amount, which is $100 / 2 = $50. Her parents give her $15, and her grandparents give her twice that amount, which is 2 * $15 = $30. In total, she gets $15 + $30 = $45 from her parents and grandparents. Adding this to her current $50, she has $50 + $45 = $95. Therefore, Betty still needs $100 - $95 = $5 more to buy the wallet.",5.0,1.0,"Betty is saving money for a new wallet which costs $100. Betty has only half of the money she needs. Her parents decided to give her $15 for that purpose, and her grandparents twice as much as her parents. How much more money does Betty need to buy the wallet?",5,True
3,"Julie has a 120-page book and has read 12 pages yesterday. Today, she reads twice that amount, which is 12 * 2 = 24 pages. So, the total number of pages she has read so far is 12 + 24 = 36 pages. The remaining pages in the book are 120 - 36 = 84 pages. She plans to read half of the remaining pages tomorrow. Half of 84 pages is 84 / 2 = 42 pages.",42.0,1.0,"Julie is reading a 120-page book. Yesterday, she was able to read 12 pages and today, she read twice as many pages as yesterday. If she wants to read half of the remaining pages tomorrow, how many pages should she read?",42,True
4,"James writes 3 pages per letter and sends letters to 2 friends. Therefore, each week he writes 3 pages * 2 friends = 6 pages. In a year, there are 52 weeks, so he writes 6 pages/week * 52 weeks/year = 312 pages/year.",312.0,1.0,James writes a 3-page letter to 2 different friends twice a week.  How many pages does he write a year?,624,False
5,"Mark has 10 yellow flowers. There are 80% more purple flowers than yellow, which means there are 10 + (0.80 * 10) = 18 purple flowers. The total number of yellow and purple flowers is 10 + 18 = 28. There are 25% as many green flowers as there are yellow and purple flowers, which means there are 0.25 * 28 = 7 green flowers. The total number of flowers is 10 (yellow) + 18 (purple) + 7 (green) = 35.",35.0,1.0,"Mark has a garden with flowers. He planted plants of three different colors in it. Ten of them are yellow, and there are 80% more of those in purple. There are only 25% as many green flowers as there are yellow and purple flowers. How many flowers does Mark have in his garden?",35,True
6,"Albert has 2 large pizzas and 2 small pizzas. Each large pizza has 16 slices, so 2 large pizzas have 2 * 16 = 32 slices. Each small pizza has 8 slices, so 2 small pizzas have 2 * 8 = 16 slices. Therefore, the total number of slices Albert can eat is 32 + 16 = 48 slices.",48.0,1.0,"Albert is wondering how much pizza he can eat in one day. He buys 2 large pizzas and 2 small pizzas. A large pizza has 16 slices and a small pizza has 8 slices. If he eats it all, how many pieces does he eat that day?",48,True
7,"Ken starts with a box on a scale and adds jelly beans to bring the weight to 2 pounds. This means the weight of the empty box is 2 pounds. Next, the weight triples, so now the weight is 3 times 2, which is 6 pounds. Then he adds another 2 pounds of jelly beans, bringing the weight to 6 + 2 = 8 pounds. Finally, he doubles the weight, so the final weight is 2 * 8 = 16 pounds.",16.0,1.0,"Ken created a care package to send to his brother, who was away at boarding school.  Ken placed a box on a scale, and then he poured into the box enough jelly beans to bring the weight to 2 pounds.  Then, he added enough brownies to cause the weight to triple.  Next, he added another 2 pounds of jelly beans.  And finally, he added enough gummy worms to double the weight once again.  What was the final weight of the box of goodies, in pounds?",16,True
8,"Alexis started with a budget of $200. She spent $30 + $46 + $38 + $11 + $18 on clothing, which totals to $143. After purchasing clothes, she has $16 left. Therefore, the amount spent on shoes can be calculated by subtracting the remaining budget from the initial budget: $200 - $16 = $184. The amount spent on shoes is the total amount spent on clothing and shoes combined, which is $184 minus what she spent on clothing. This means she paid $184 - $143 = $41 for the shoes.",41.0,1.0,"Alexis is applying for a new job and bought a new set of business clothes to wear to the interview. She went to a department store with a budget of $200 and spent $30 on a button-up shirt, $46 on suit pants, $38 on a suit coat, $11 on socks, and $18 on a belt. She also purchased a pair of shoes, but lost the receipt for them. She has $16 left from her budget. How much did Alexis pay for the shoes?",41,True
9,"Tina earns $18.00 per hour. For 8 hours she earns 8 * 18, which is $144. For the remaining 2 hours, she earns overtime. Overtime pay is 1.5 times her regular rate, which is 1.5 * 18 = $27. For 2 hours of overtime, she earns 2 * 27 = $54. Therefore, for one day (10 hours), she earns $144 (regular) + $54 (overtime) = $198. For 5 days, she earns 5 * 198 = $990.",990.0,1.0,"Tina makes $18.00 an hour.  If she works more than 8 hours per shift, she is eligible for overtime, which is paid by your hourly wage + 1/2 your hourly wage.  If she works 10 hours every day for 5 days, how much money does she make?",990,True
10,"In the problem, it states that ships have been built larger over time, with each new ship having twice as many people as the previous ship. If we denote the number of people on the ship in the first hundred years as 'x', then the ship in the second hundred years would have 2x people, and the ship in the third hundred years would have 4x people. Over three hundred years, the total number of people consumed is x + 2x + 4x = 7x. We know from the problem that this total equals 847 people. Therefore, we can set up the equation 7x = 847. Solving for x gives x = 847 / 7 = 121. Therefore, the number of people on the ship in the first hundred years is 121.",121.0,1.0,"A deep-sea monster rises from the waters once every hundred years to feast on a ship and sate its hunger. Over three hundred years, it has consumed 847 people. Ships have been built larger over time, so each new ship has twice as many people as the last ship. How many people were on the ship the monster ate in the first hundred years?",121,True
11,"Tobias earns $5 each month for three months, which totals $15 from his allowance. If he mows 4 lawns, that earns him 4 * $15 = $60 from mowing. Therefore, his total income before buying the shoes is $15 (allowance) + $60 (mowing) = $75. After buying the shoes for $95, he is left with $15 in change. Thus, his total spending on shoes was $95 - $15 = $80. This means he had to earn $80 from mowing lawns and shoveling driveways combined. Given he earned $60 from mowing, he must have earned $80 - $60 = $20 from shoveling driveways. Since he charges $7 for each driveway, the number of driveways he must have shoveled is 20 / 7 = approximately 2.857, which rounds down to 2 complete driveways (as he can't shovel a fraction of a driveway). Therefore, he shoveled 2 driveways.",2.0,0.9,"Tobias is buying a new pair of shoes that costs $95. He has been saving up his money each month for the past three months. He gets a $5 allowance a month. He also mows lawns and shovels driveways. He charges $15 to mow a lawn and $7 to shovel. After buying the shoes, he has $15 in change. If he mows 4 lawns, how many driveways did he shovel?",5,False
